Time (s),Mole fraction
,Ar,He,Ne,N2,SiH4(1),H2(2),SiH2(3),Si2H6(4),SiH3SiH(5)
5.096361314220643,-9.7002031370764758e-22,0.0,0.0,0.0,0.26433304345307324,0.61783347827346236,5.3607722265801493e-15,0.11783347827345873,5.3476211127840476e-16
5.50572941025555,-1.2594330706021964e-21,0.0,0.0,0.0,0.25114004249000149,0.62442997875499795,5.9555991004679256e-15,0.12442997875499402,5.5874612379460384e-16
5.915097506290457,-6.7233037389943746e-22,0.0,0.0,0.0,0.23860552719745101,0.63069723640127295,6.5816727543442647e-15,0.13069723640126879,5.8103534876081629e-16
6.324465602325364,5.5154587215478665e-22,0.0,0.0,0.0,0.2266966318530762,0.63665168407346029,7.2406389294101729e-15,0.13665168407345563,6.0182613587041755e-16
6.733833698360271,-2.1551357573113593e-21,0.0,0.0,0.0,0.2153821336468997,0.64230893317654825,7.9342238315986983e-15,0.14230893317654336,6.2128425950147386e-16
7.1432017943951776,-2.6042647324424429e-21,0.0,0.0,0.0,0.20463236567690921,0.64768381716154344,8.6642297104657624e-15,0.14768381716153803,6.3935717999542048e-16
7.552569890430084,1.0075724132091345e-21,0.0,0.0,0.0,0.19441914140421543,0.65279042929789022,9.4325766309607479e-15,0.15279042929788436,6.5625236834220223e-16
7.961937986464991,-3.8448798249200483e-21,0.0,0.0,0.0,0.18471568387208717,0.65764215806395399,1.0241327899451033e-14,0.15764215806394788,6.7225082264318878e-16
8.371306082499899,-1.0046267784545392e-20,0.0,0.0,0.0,0.17549655057071789,0.66225172471463856,1.1092619750202166e-14,0.16225172471463181,6.870466182884161e-16
8.780674178534806,-1.092738565103484e-20,0.0,0.0,0.0,0.16673756861816497,0.66663121569091488,1.1988477928406634e-14,0.16663121569090764,7.0081938816102514e-16
9.190042274569713,-1.8961851480404415e-20,0.0,0.0,0.0,0.15841577374230023,0.6707921131288469,1.293096516625835e-14,0.17079211312883924,7.1411873755688435e-16
9.59941037060462,-1.7350708119159026e-20,0.0,0.0,0.0,0.15050934614048844,0.67474532692975253,1.3922974498670231e-14,0.17474532692974434,7.2638534776889301e-16
9.999999999999998,1.0763039104845764e-21,0.0,0.0,0.0,0.1431546347220278,0.67842268263898253,1.4945701556772501e-14,0.17842268263897393,7.3735237530864213e-16
10.008778466639527,1.5092168829045291e-21,0.0,0.0,0.0,0.14299755475822773,0.67850122262088264,1.4968728663513075e-14,0.17850122262087395,7.3759079258383706e-16
10.418146562674433,-6.1610219352983838e-20,0.0,0.0,0.0,0.13586070518266893,0.68206964740866172,1.6071990495783563e-14,0.1820696474086525,7.4865717901759921e-16
10.82751465870934,4.7580419568028545e-20,0.0,0.0,0.0,0.12908008445548788,0.68545995777225222,1.7231142656430956e-14,0.18545995777224214,7.5905982998109947e-16
11.236882754744247,3.5706088071268993e-19,0.0,0.0,0.0,0.12263791340126481,0.6886810432993633,1.8439312667126363e-14,0.18868104329935281,7.681346586515804e-16
