Time (s),dln[SiH2(2)]/dln[k1]: SiH4(1)=SiH2(2)+H2(3),dln[SiH2(2)]/dln[k2]: H2(3)+Si(14)=SiH2(2),dln[SiH2(2)]/dln[k9]: SiH3SiH(5)=H4Si2(7),dln[SiH2(2)]/dln[k11]: H2(3)+H2Si2(22)=H4Si2(7),dln[SiH2(2)]/dG[SiH4(1)],dln[SiH2(2)]/dG[SiH2(2)],dln[SiH2(2)]/dG[H2(3)],dln[SiH2(2)]/dG[Si(14)],dln[SiH2(2)]/dG[SiH3SiH(5)],dln[SiH2(2)]/dG[H2Si2(22)]
0.001832083687050095,1.1784954355585409,-0.81316317376293257,-2.1600156349743897e-06,-1.15600014316927e-07,-1.2470590177595772e-06,-0.55117082770566461,0.5511708831856118,0.55116958062124455,1.1908766334739437e-06,6.3713318104449563e-08
0.0020534586216896687,1.2146426517683384,-0.77600808159322188,-2.684390828959285e-06,-1.4366098844255874e-07,-1.5504050261694818e-06,-0.55117082770749426,0.55117089740608283,0.55116927727251086,1.4799779002455435e-06,7.9178327632094477e-08
0.002496208490968816,1.2876369356904678,-0.70099853118681921,-3.8797494926007029e-06,-2.0762784636627855e-07,-2.2422380393781527e-06,-0.55117082771086789,0.55117093015479646,0.55116858543047165,2.1390068453348702e-06,1.1443042128686971e-07
0.0029389583602479636,1.3581901692680267,-0.62843092757403529,-5.2611844446960862e-06,-2.8155164767066679e-07,-3.0421320027535052e-06,-0.55117082771390991,0.55117096838343471,0.55116778552141288,2.9006204930654942e-06,1.5516738607876483e-07
0.003381708229527111,1.4237024013423778,-0.56090545174527262,-6.8211936586159951e-06,-3.6503109170684457e-07,-3.9457286194074677e-06,-0.55117082771668724,0.55117101187751361,0.55116688190171714,3.7606814843494803e-06,2.0116732237244096e-07
0.0038244580988062585,1.4829051468202581,-0.49969074305417666,-8.5557535693265989e-06,-4.5785097516696409e-07,-4.9506906831703833e-06,-0.55117082771926396,0.55117106052223819,0.55116587690690499,4.7169706158126008e-06,2.5231107063177665e-07
0.004709957837364553,1.5815255594028359,-0.39705056949029627,-1.2543477460356572e-05,-6.7124217945139713e-07,-7.2617846648355081e-06,-0.55117082772402404,0.55117117312475661,0.55116356571524217,6.9154467634274944e-06,3.6987993117586822e-07
0.005595457575922848,1.6564222214898674,-0.31813987991879406,-1.7224980542689141e-05,-9.2175894187994922e-07,-9.9757859137710349e-06,-0.55117082772849879,0.55117130622186805,0.55116085156822503,9.4963889028447985e-06,5.0789114962181114e-07
0.006480957314481143,1.7125124927643802,-0.25804128238852159,-2.2607623488231922e-05,-1.209795195175799e-06,-1.3096980936951541e-05,-0.55117082773285953,0.55117146004160111,0.55115773017707126,1.2463852836017265e-05,6.6656199853362081e-07
0.007366457053039438,1.7544536024943724,-0.21209741691330053,-2.8698153957261441e-05,-1.5357119866909805e-06,-1.6629301138264332e-05,-0.55117082773719128,0.55117163479310416,0.551154197611184,1.5821557110450291e-05,8.4609251433559762e-07
0.008251956791597733,1.7859277353570142,-0.17662595942384277,-3.5500824999375532e-05,-1.8997368520824466e-06,-2.0575224572292141e-05,-0.55117082774153336,0.55117183060933439,0.55115025139233875,1.9571847071849935e-05,1.0466096044010779e-06
0.009137456530156029,1.8096627776741641,-0.14889890466906691,-4.3017439043871447e-05,-2.3019661924149465e-06,-2.4935805181845224e-05,-0.55117082774590087,0.55117204754824944,0.55114589046776485,2.3715716763891958e-05,1.2681680924463555e-06
0.009999999999999998,1.5738990710016998,-0.10978090298609786,-4.395849270209651e-05,-2.3523216703285191e-06,-2.5484874856659344e-05,-0.47475876426902347,0.4747600146764776,0.47473327779458496,2.4234445143088238e-05,1.2958789913717148e-06
0.010908456007272619,1.8412660644196055,-0.10932717824467153,-6.0190573832039643e-05,-3.2209352782107204e-06,-3.4899839635110461e-05,-0.55117082775472193,0.55117254474826305,0.55113592560825742,3.318314027679464e-05,1.774359375977597e-06
0.012679455484389208,1.8593649376776982,-0.083280260066019518,-8.0202026556084672e-05,-4.2917878958609844e-06,-4.651242715715503e-05,-0.55117082776363924,0.5511731259466639,0.5511243120373448,4.4215264367689858e-05,2.3642214603965572e-06
0.014450454961505798,1.869351528933773,-0.065365745474732048,-0.00010302443947894973,-5.513059980434449e-06,-5.9757708960141018e-05,-0.55117082777261717,0.55117379033906289,0.55111106563547785,5.6797013307442318e-05,3.0369592239101952e-06
0.016221454438622388,1.8742323707899733,-0.052576960619059025,-0.00012862467787447244,-6.8829783983714102e-06,-7.4616462559854777e-05,-0.55117082778162596,0.55117453694577201,0.55109620564283135,7.0910134555561419e-05,3.7916053591480981e-06
0.01799245391573898,1.8757648745781936,-0.043156428316514693,-0.00015696678766415769,-8.399619186907273e-06,-9.1067833272558674e-05,-0.55117082779064164,0.55117536470149708,0.55107975293352607,8.6534817982213493e-05,4.6271076577231259e-06
0.01976345339285557,1.8750225388264739,-0.036030627804905534,-0.0001880134705549028,-1.0060986474256877e-05,-0.00010909017926495168,-0.55117082779964521,0.55117627250026868,0.55106172916408558,0.00010365050918791938,5.5423727353244199e-06
0.021534452869972163,1.8726873453185429,-0.03051758116715032,-0.00022172684315345244,-1.18650530913057e-05,-0.00012866151905729841,-0.55117082780862392,0.55117725921836547,0.55104215633297948,0.00012223633269868277,6.5362886467337229e-06
0.023305452347088754,1.8692077476322793,-0.026168854612292711,-0.00025806884541795306,-1.3809782423402418e-05,-0.00014975976953689142,-0.55117082781756621,0.55117832372661724,0.5510210565445991,0.00014227131869322182,7.6077371293804969e-06
0.025076451824205346,1.8648876803266687,-0.022680543279053465,-0.00029700146816806066,-1.5893140581567114e-05,-0.00017236287358284369,-0.55117082782646654,0.55117946489730885,0.55099845186768415,0.00016373452382378907,8.7556004998977184e-06
0.028618450778438526,1.8545113992912963,-0.017500051365646689,-0.00038248751433958203,-2.0467660049138913e-05,-0.00022199598496708725,-0.55117082784411442,0.55118197274417724,0.55094881558158704,0.00021086235843805373,1.1276126509325346e-05
0.03216044973267171,1.8426321041556717,-0.01390282897168007,-0.00047788576331999521,-2.5572600196322799e-05,-0.00027738718515807597,-0.55117082786154348,0.55118477388210196,0.55089342120983287,0.00026345494882581608,1.4089055999777335e-05
0.03570244868690489,1.8298332270877207,-0.011305793892753793,-0.00058290230768801997,-3.1192233906631622e-05,-0.00033836588826204489,-0.5511708278787365,0.55118785959298899,0.55083243941756954,0.00032135033707700474,1.7185728756584743e-05
0.039244447641138075,1.8164532863978973,-0.0093707830730674624,-0.00069724905253269753,-3.731114507459691e-05,-0.00040476487840082999,-0.55117082789567962,0.55119122133264831,0.55076603750536213,0.00038438976920072054,2.055765218801467e-05
0.04278644659537126,1.8026994118214383,-0.0078910168930932615,-0.00082064385744915185,-4.3914236206372258e-05,-0.00047642037386708721,-0.5511708279123646,0.55119485073498731,0.55069437932496157,0.00045241776718236607,2.4196506895016734e-05
0.04632844554960444,1.7887040297859351,-0.0067344096607561115,-0.00095281056310973485,-5.0986729836049468e-05,-0.00055317205357329965,-0.55117082792879002,0.55119873961267174,0.55061762524339031,0.00052528214236475547,2.8094148257000266e-05
0.049870444503837624,1.7745549885230905,-0.0058134415241919597,-0.001093478943814958,-5.8514165989055118e-05,-0.00063486302854337659,-0.55117082794495564,0.5512028799556592,0.5505359321871276,0.00060283397121494017,3.2242605585288351e-05
0.05341244345807081,1.7603124268176487,-0.0050682884249357678,-0.0012423846309133845,-6.6482398085718582e-05,-0.00072133980975880242,-0.5511708279608637,0.55120726392884212,0.55044945368875209,0.00068492755386802512,3.6634080274738824e-05
0.05695444241230399,1.746018647398621,-0.0044569479631375968,-0.0013992690147253675,-7.4877587691697561e-05,-0.00081245224568130979,-0.55117082797651229,0.55121188386902442,0.55035833993999406,0.00077142036497936139,4.126094317285785e-05
0.060496441366537174,1.7317041200283052,-0.0039492359448551452,-0.0015638791379518294,-8.3686198816252562e-05,-0.0009080534564472844,-0.55117082799190276,0.55121673228166179,0.55026273785001889,0.00086217298513955047,4.6115731590480845e-05
0.06403844032077036,1.7173912539384999,-0.0035230138051578273,-0.0017359675878188022,-9.2894992144122902e-05,-0.0010079997696858366,-0.55117082800703865,0.55122180183757996,0.55016279111136879,0.00095704904585068552,5.1191146209279938e-05
0.06758043927500354,1.7030968380625111,-0.0031617483818537672,-0.0019152923882971812,-0.00010249101926926386,-0.0011121506636596766,-0.55117082802192052,0.55122708536970133,0.55005864026622442,0.0010559151773909077,5.6480047975034089e-05
